MUNICIPIO_CIRCUNSCRICAO,DP_CIRCUNSCRICAO ,Nº DE VÍT HD,MÊS ESTATISTICA,ANO_BO,MUNICIPIO_ELABORACAO,SEXO,IDADE_PESSOA,COR_PELE,PROFISSAO,NATUREZA_APURADA
Viradouro,DM - Viradouro,1,Abril,2015,VIRADOURO,Feminino,54,Parda,FAXINEIRO(A),HOMICÍDIO DOLOSO
Itupeva,DM - Itupeva,1,Abril,2015,ITUPEVA,Feminino,44,Branca,COSTUREIRO(A),HOMICÍDIO DOLOSO
Ubatuba,DM - Ubatuba,1,Abril,2015,UBATUBA,Feminino,37,Parda,AJUDANTE,HOMICÍDIO DOLOSO
São Paulo,049 DP - São Mateus,1,Abril,2015,S.PAULO,Feminino,17,Branca,ESTUDANTE,HOMICÍDIO DOLOSO
Suzano,DM - Suzano,1,Maio,2015,SUZANO,Feminino,20,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Carapicuíba,002 DP - Carapicuiba,1,Maio,2015,CARAPICUIBA,Feminino,23,Preta,OPERADOR(A) TELEMARKETING,HOMICÍDIO DOLOSO
São Paulo,055 DP - Parque São Rafael,1,Maio,2015,S.PAULO,Feminino,30,Parda,ATENDENTE,HOMICÍDIO DOLOSO
Leme,002 DP - Leme,1,Junho,2015,LEME,Feminino,21,Branca,POLICIAL MILITAR,HOMICÍDIO DOLOSO
Sumaré,005 DP - Sumaré,1,Junho,2015,SUMARE,Feminino,55,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Guapiara,DM - Guapiara,1,Junho,2015,GUAPIARA,Feminino,32,Branca,EMPREGADO DOMESTICO,HOMICÍDIO DOLOSO
Campinas,005 DP - Campinas,1,Junho,2015,CAMPINAS,Feminino,32,Branca,COZINHEIRO(A),HOMICÍDIO DOLOSO
Tarabaí,DM - Tarabaí,1,Julho,2015,TARABAI,Feminino,25,Parda,EMPREGADO DOMESTICO,HOMICÍDIO DOLOSO
Bauru,002 DP - Bauru,1,Julho,2015,BAURU,Feminino,31,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Miguelópolis,DM - Miguelópolis,1,Julho,2015,MIGUELOPOLIS,Feminino,35,Branca,AUXILIAR DE VENDAS,HOMICÍDIO DOLOSO
Itaquaquecetuba,DM - Itaquaquecetuba,1,Agosto,2015,ITAQUAQUECETUBA,Feminino,24,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Itapevi,DM - Itapevi,1,Agosto,2015,ITAPEVI,Feminino,57,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Sumaré,002 DP - Sumaré,1,Agosto,2015,SUMARE,Feminino,36,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Campinas,002 DP - Campinas,1,Agosto,2015,CAMPINAS,Feminino,74,Branca,APOSENTADO(A),HOMICÍDIO DOLOSO
Campinas,002 DP - Campinas,1,Agosto,2015,CAMPINAS,Feminino,38,Parda,AUXILIAR DE LIMPEZA,HOMICÍDIO DOLOSO
Guarulhos,006 DP - Guarulhos,1,Setembro,2015,GUARULHOS,Feminino,38,Branca,AUXILIAR DE SERVIÇOS GERAIS,HOMICÍDIO DOLOSO
São Roque,DM - São Roque,1,Setembro,2015,S.ROQUE,Feminino,32,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Roque,DM - São Roque,1,Setembro,2015,S.ROQUE,Feminino,26,Parda,AUTONOMO(A,HOMICÍDIO DOLOSO
Mairinque,DM - Mairinque,1,Setembro,2015,MAIRINQUE,Feminino,26,Preta,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Mairinque,DM - Mairinque,1,Setembro,2015,MAIRINQUE,Feminino,43,Branca,FAXINEIRO(A),HOMICÍDIO DOLOSO
São José do Rio Preto,006 DP - São José do Rio Preto,1,Setembro,2015,S.JOSE DO RIO PRETO,Feminino,39,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Franca,001 DP - Franca,1,Setembro,2015,FRANCA,Feminino,24,Branca,BANCARIO(A),HOMICÍDIO DOLOSO
Ouro Verde,DM - Ouro Verde,1,Outubro,2015,OURO VERDE,Feminino,40,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Ibitinga,DM - Ibitinga,1,Outubro,2015,IBITINGA,Feminino,18,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
São Bernardo do Campo,006 DP - São Bernardo do Campo,1,Novembro,2015,S.BERNARDO DO CAMPO,Feminino,23,Branca,DESEMPREGADO(A),HOMICÍDIO DOLOSO
São Bernardo do Campo,006 DP - São Bernardo do Campo,1,Novembro,2015,S.BERNARDO DO CAMPO,Feminino,18,Branca,CABELEIREIRO(A),HOMICÍDIO DOLOSO
Vargem Grande Paulista,DM - Vargem Grande Paulista,1,Novembro,2015,VARGEM GRANDE PAULISTA,Feminino,41,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Cotia,DM - Cotia,1,Novembro,2015,COTIA,Feminino,53,Outros,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Santos,005 DP - Santos,1,Novembro,2015,SANTOS,Feminino,58,Preta,APOSENTADO(A,HOMICÍDIO DOLOSO
Santos,005 DP - Santos,1,Novembro,2015,SANTOS,Feminino,32,Preta,ESTUDANTE,HOMICÍDIO DOLOSO
São Paulo,032 DP - Itaquera,1,Novembro,2015,S.PAULO,Feminino,30,Branca,OPERADOR(A) TELEMARKETING,HOMICÍDIO DOLOSO
São Paulo,095 DP - Heliópolis,1,Novembro,2015,S.PAULO,Feminino,30,Branca,CORRETOR(A) DE IMOVEIS,HOMICÍDIO DOLOSO
Francisco Morato,DM - Francisco Morato,1,Dezembro,2015,FRANCISCO MORATO,Feminino,16,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Bastos,DM - Bastos,1,Dezembro,2015,BASTOS,Feminino,25,Branca,DESEMPREGADO(A,HOMICÍDIO DOLOSO
São Simão,DM - São Simão,1,Dezembro,2015,S.SIMAO,Feminino,38,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
São Paulo,047 DP - Capão Redondo,1,Dezembro,2015,S.PAULO,Feminino,34,Parda,SECRETARIO(A),HOMICÍDIO DOLOSO
São Paulo,045 DP - Vila Brasilândia,1,Dezembro,2015,S.PAULO,Feminino,38,Branca,EMPREGADO DOMESTICO,HOMICÍDIO DOLOSO
Bauru,001 DP - Bauru,1,Janeiro,2016,BAURU,Feminino,32,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Bauru,001 DP - Bauru,1,Janeiro,2016,BAURU,Feminino,72,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Bauru,001 DP - Bauru,1,Janeiro,2016,BAURU,Feminino,27,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Campinas,009 DP - Campinas,1,Fevereiro,2016,CAMPINAS,Feminino,29,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,090 DP - Parque Novo Mundo,1,Fevereiro,2016,S.PAULO,Feminino,39,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Conchas,DM - Conchas,1,Fevereiro,2016,CONCHAS,Feminino,23,Parda,DESEMPREGADO(A),HOMICÍDIO DOLOSO
Várzea Paulista,DM - Várzea Pta.,1,Fevereiro,2016,VARZEA PAULISTA,Feminino,46,Parda,ENCARREGADO,HOMICÍDIO DOLOSO
São Paulo,025 DP - Parelheiros,1,Fevereiro,2016,S.PAULO,Feminino,0,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Ribeirão Preto,005 DP - Ribeirão Preto,1,Março,2016,RIBEIRAO PRETO,Feminino,52,Branca,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
São Paulo,010 DP - Penha de França,1,Março,2016,S.PAULO,Feminino,2,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
Sorocaba,011 DP - Sorocaba,1,Março,2016,SOROCABA,Feminino,56,Parda,PRENDAS DOMESTICAS,HOMICÍDIO DOLOSO
Paulínia,DM - Paulínea,1,Março,2016,PAULINIA,Feminino,76,Branca,APOSENTADO(A),HOMICÍDIO DOLOSO
Registro,002 DP - Registro,1,Abril,2016,REGISTRO,Feminino,25,Parda,GARÇON(ETE),HOMICÍDIO DOLOSO
Guarulhos,002 DP - Guarulhos,1,Abril,2016,GUARULHOS,Feminino,22,Parda,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,042 DP - Parque São Lucas,1,Abril,2016,S.PAULO,Feminino,50,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
São Paulo,054 DP - Cidade Tiradentes,1,Abril,2016,S.PAULO,Feminino,21,Preta,AUXILIAR DE LIMPEZA,HOMICÍDIO DOLOSO
São Paulo,054 DP - Cidade Tiradentes,1,Abril,2016,S.PAULO,Feminino,31,Preta,EMPREGADO DOMESTICO,HOMICÍDIO DOLOSO
Itararé,DM - Itararé,1,Abril,2016,ITARARE,Feminino,27,Branca,NÃO_DECLARADO,HOMICÍDIO DOLOSO
